date,commit,total_collabs
2017-05-09,6fb45944aa1dd06dbdf2ad3fbe12539fd5706040,931
2017-05-13,a5cf191351de471483696ca53d8c2756c073c169,929
2017-05-15,6b369c7c2f32688036df906dba149b587959cf94,927
2017-05-16,f397dac8a5c549ba6f04ac57988dedc8406d48f9,924
2017-05-17,e273e96ebe3f0d4b6f14092980ee5bb10f1e8c74,922
2017-05-19,a5a15234cfce2aa1942968b81de2243a2c43a478,921
2017-05-21,ec817b5332c312b5aa4585e087e9eb56ab559500,920
2017-05-23,baba6611b77538e67ecde3811c0dec348b85779d,920
2017-06-05,059ba14f3e935c65ccb5f76eadf28485555763e0,913
2017-06-07,85330b715ea26f494a10946059cf913510da4384,910
2017-06-08,1037bcc9a50e7c6847d8c8d6fda904830ea4f74a,909
2017-06-09,3d220d8e454037a0ffdb3b2c87e9a9cd885ad705,910
2017-06-10,12191c39b187263825327c16ca269da1986b770c,909
2017-07-02,d35216ed983bcf0532a10e143723441e7cb4c932,876
2017-07-04,73e3b8a6a87332a9f1f3f0469d0f95d4609ca024,877
2017-07-10,925c96d3e54f81055354246a0ca7b65d8bf291ff,876
2017-07-11,53e08de0ebd542702a85fcbdd4fd7139e30d11a2,877
2017-07-22,9d9f955f1bdce2438dea7639e1d2db1a67582aad,872
2017-07-23,9257b57d2625cbcc225358f63abe1fc5d1628d9c,873
2017-07-25,cced9e9133b6184155351dbf7f838b02f9135759,874
2017-07-26,13b39475b70dd9c51a646b7046977d214fba8c56,873
2017-07-27,786343e622011322096861bc1d39298f1a2217f4,875
2017-07-29,9c2dae88c117e3fb243e8551f09604762b392b46,875
2017-08-01,c420a04006d7a739c76782915cab886885dab06d,869
2017-08-02,d197df648fe114c325170b373c41b9fd3538bcca,870
2017-08-05,32119ee73c894e2dbc4182bd61af1cd8cdb94a7f,871
2017-08-08,4503e62a251befd4b210bf7ad061ece8a49f537b,870
2017-08-11,f0c66db35879abc80f3b9ab40b9e110f75f7f73b,871
2017-08-12,7928496345cd7a13d9c5f7094bc48d2ea5afcd42,872
2017-08-16,0fb4defd8d30cbf09815865a0aca3ce557cccbe9,871
2017-08-17,aed625f9d2680259ae426134059e4cd8c4d8b3d3,871
2017-08-18,48b6ff9146bc163eba05d1b9345c46cf76771176,863
2017-08-19,9fd70e68813dda43b59b57fbd4c92f763a7ac48b,865
2017-08-22,354d3087fb1c78dbd3531fa5383008dce743e720,865
2017-08-24,473c79b0ee67ded17eaf779778a9e09e0cb1fa1b,866
2017-08-25,209433a835679ebd4843b5830392135ec9332104,866
2017-08-26,1efe7648dd0b7e9d8cd2f2d5a4989353e4a9d1dc,866
2017-08-28,b7174af5585a3d94fb4e832e81c9fbc024b42335,865
2017-08-29,a16d77917b98771552d59c606f6aace510f4e9fe,866
2017-08-30,327b3d4bb4eaa0ae0d711e30506dba99587be5c7,866
